id,name,marca,category,subcategory,coverage_max_dim,coverage_w,coverage_h,pad_top,pad_bottom,pad_left,pad_right,image_url
292,"Wilson Endure LS 2026",Wilson,padel,palas,0.8033,0.3425,0.8033,0.0917,0.1050,0.3312,0.3262,https://itllufoljyibrrzlwapm.supabase.co/storage/v1/object/sign/images/products/0-1778678588657.jpg?token=eyJraWQiOiJzdG9yYWdlLXVybC1zaWduaW5nLWtleV9hMGI4MTEwOC05MjM2LTRmOGQtYWVmMC0xYmFjOWIwMGNmNjAiLCJhbGciOiJIUzI1NiJ9.eyJ1cmwiOiJpbWFnZXMvcHJvZHVjdHMvMC0xNzc4Njc4NTg4NjU3LmpwZyIsImlhdCI6MTc3ODY3ODU4OSwiZXhwIjoyMDk0MDM4NTg5fQ.ms4H25iLMzuQiCOyt8WyjzvNf3hT-Ib6WnrHutf9ja8
117,"Butterfly Petr Korbel",Butterfly,tenis-mesa,paletas,0.8060,0.7460,0.8060,0.0940,0.1000,0.1260,0.1280,https://itllufoljyibrrzlwapm.supabase.co/storage/v1/object/sign/images/products/0-1750781775200.webp?token=eyJraWQiOiJzdG9yYWdlLXVybC1zaWduaW5nLWtleV9hMGI4MTEwOC05MjM2LTRmOGQtYWVmMC0xYmFjOWIwMGNmNjAiLCJhbGciOiJIUzI1NiJ9.eyJ1cmwiOiJpbWFnZXMvcHJvZHVjdHMvMC0xNzUwNzgxNzc1MjAwLndlYnAiLCJpYXQiOjE3NTA3ODE3NzYsImV4cCI6MjA2NjE0MTc3Nn0.ChspTUoGhZok4Bdi8Ouft3mvt5JIBaaDDPEjrlUMwAc
184,"Butterfly Pelotas 3 Estrellas X6 Unidades",Butterfly,tenis-mesa,pelotas,0.8060,0.4220,0.8060,0.0940,0.1000,0.2660,0.3120,https://itllufoljyibrrzlwapm.supabase.co/storage/v1/object/sign/images/products/0-1753055964261.jpg?token=eyJraWQiOiJzdG9yYWdlLXVybC1zaWduaW5nLWtleV9hMGI4MTEwOC05MjM2LTRmOGQtYWVmMC0xYmFjOWIwMGNmNjAiLCJhbGciOiJIUzI1NiJ9.eyJ1cmwiOiJpbWFnZXMvcHJvZHVjdHMvMC0xNzUzMDU1OTY0MjYxLmpwZyIsImlhdCI6MTc1MzA1NTk2NCwiZXhwIjoyMDY4NDE1OTY0fQ.ZaskzgCGjE4XEpNrM4fejbrCLgcqhwZxgOugdEeMSJQ
288,"Wilson Bela LT V2.5",Wilson,padel,palas,0.8243,0.4729,0.8243,0.0857,0.0900,0.2686,0.2586,https://itllufoljyibrrzlwapm.supabase.co/storage/v1/object/sign/images/products/0-1778677667167.webp?token=eyJraWQiOiJzdG9yYWdlLXVybC1zaWduaW5nLWtleV9hMGI4MTEwOC05MjM2LTRmOGQtYWVmMC0xYmFjOWIwMGNmNjAiLCJhbGciOiJIUzI1NiJ9.eyJ1cmwiOiJpbWFnZXMvcHJvZHVjdHMvMC0xNzc4Njc3NjY3MTY3LndlYnAiLCJpYXQiOjE3Nzg2Nzc2NjcsImV4cCI6MjA5NDAzNzY2N30.UCrGew2limuWJdEhwXxBJw2wbfOiwpLSZHecMFwSk4Q
225,"Wilson Super Tour Bag Red",Wilson,padel,bolsos,0.8308,0.8308,0.4858,0.3150,0.1992,0.0858,0.0833,https://itllufoljyibrrzlwapm.supabase.co/storage/v1/object/sign/images/products/0-1757717966862.jpg?token=eyJraWQiOiJzdG9yYWdlLXVybC1zaWduaW5nLWtleV9hMGI4MTEwOC05MjM2LTRmOGQtYWVmMC0xYmFjOWIwMGNmNjAiLCJhbGciOiJIUzI1NiJ9.eyJ1cmwiOiJpbWFnZXMvcHJvZHVjdHMvMC0xNzU3NzE3OTY2ODYyLmpwZyIsImlhdCI6MTc1NzcxNzk2NywiZXhwIjoyMDczMDc3OTY3fQ.zM0gqCFKQ82fhToDLH8aGmSQI5LdgZSDkGZ81xDERfQ
215,"Wilson Defy Pro V1",Wilson,padel,palas,0.8337,0.4775,0.8337,0.0762,0.0900,0.2612,0.2612,https://itllufoljyibrrzlwapm.supabase.co/storage/v1/object/sign/images/products/215-1777232503495.webp?token=eyJraWQiOiJzdG9yYWdlLXVybC1zaWduaW5nLWtleV9hMGI4MTEwOC05MjM2LTRmOGQtYWVmMC0xYmFjOWIwMGNmNjAiLCJhbGciOiJIUzI1NiJ9.eyJ1cmwiOiJpbWFnZXMvcHJvZHVjdHMvMjE1LTE3NzcyMzI1MDM0OTUud2VicCIsImlhdCI6MTc3NzIzMjUwMywiZXhwIjoyMDkyNTkyNTAzfQ.IbPyGts_cx5XReVnKMM8ULOrl_4-M8gpG6uNY11Le9o
216,"Wilson Bela V3",Wilson,padel,palas,0.8343,0.4743,0.8343,0.0757,0.0900,0.2614,0.2643,https://itllufoljyibrrzlwapm.supabase.co/storage/v1/object/sign/images/products/0-1757384637761.webp?token=eyJraWQiOiJzdG9yYWdlLXVybC1zaWduaW5nLWtleV9hMGI4MTEwOC05MjM2LTRmOGQtYWVmMC0xYmFjOWIwMGNmNjAiLCJhbGciOiJIUzI1NiJ9.eyJ1cmwiOiJpbWFnZXMvcHJvZHVjdHMvMC0xNzU3Mzg0NjM3NzYxLndlYnAiLCJpYXQiOjE3NTczODQ2MzgsImV4cCI6MjA3Mjc0NDYzOH0.hAC14vOi0mmlUtnBkoGfEs5fLbogy_d9s_IvqmjjPeQ
103,"Wilson Blade Team Pádel v2",Adidas,padel,bolsos,0.8350,0.4750,0.8350,0.0750,0.0900,0.2650,0.2600,https://itllufoljyibrrzlwapm.supabase.co/storage/v1/object/sign/images/products/0-1750728711203.webp?token=eyJraWQiOiJzdG9yYWdlLXVybC1zaWduaW5nLWtleV9hMGI4MTEwOC05MjM2LTRmOGQtYWVmMC0xYmFjOWIwMGNmNjAiLCJhbGciOiJIUzI1NiJ9.eyJ1cmwiOiJpbWFnZXMvcHJvZHVjdHMvMC0xNzUwNzI4NzExMjAzLndlYnAiLCJpYXQiOjE3NTA3Mjg3MTEsImV4cCI6MjA2NjA4ODcxMX0.HM8VIekSbii_hjR26fxOSo5Oq5GCkTtc27gFh_bJVEo
213,"Wilson Bela Pro V3 ",Wilson,padel,palas,0.8350,0.4775,0.8350,0.0758,0.0892,0.2592,0.2633,https://itllufoljyibrrzlwapm.supabase.co/storage/v1/object/sign/images/products/0-1757384424638.webp?token=eyJraWQiOiJzdG9yYWdlLXVybC1zaWduaW5nLWtleV9hMGI4MTEwOC05MjM2LTRmOGQtYWVmMC0xYmFjOWIwMGNmNjAiLCJhbGciOiJIUzI1NiJ9.eyJ1cmwiOiJpbWFnZXMvcHJvZHVjdHMvMC0xNzU3Mzg0NDI0NjM4LndlYnAiLCJpYXQiOjE3NTczODQ0MjUsImV4cCI6MjA3Mjc0NDQyNX0.Z1QJSyZRvFmbIgl2r1lqIR8kVLyIRscBwH7zo6gqjTc
290,"Wilson Endure Pro V1 2026",Wilson,padel,palas,0.8352,0.4565,0.8352,0.0750,0.0898,0.3167,0.2269,https://itllufoljyibrrzlwapm.supabase.co/storage/v1/object/sign/images/products/0-1778678349852.jpg?token=eyJraWQiOiJzdG9yYWdlLXVybC1zaWduaW5nLWtleV9hMGI4MTEwOC05MjM2LTRmOGQtYWVmMC0xYmFjOWIwMGNmNjAiLCJhbGciOiJIUzI1NiJ9.eyJ1cmwiOiJpbWFnZXMvcHJvZHVjdHMvMC0xNzc4Njc4MzQ5ODUyLmpwZyIsImlhdCI6MTc3ODY3ODM1MCwiZXhwIjoyMDk0MDM4MzUwfQ.gTT5nEZ_eFrEe1z8TefVeZfW3BcsyOzykRsSS54-_pI
107,"Wilson Blade Pro V3",Wilson,padel,palas,0.8358,0.4775,0.8358,0.0742,0.0900,0.2617,0.2608,https://itllufoljyibrrzlwapm.supabase.co/storage/v1/object/sign/images/products/0-1750729270634.webp?token=eyJraWQiOiJzdG9yYWdlLXVybC1zaWduaW5nLWtleV9hMGI4MTEwOC05MjM2LTRmOGQtYWVmMC0xYmFjOWIwMGNmNjAiLCJhbGciOiJIUzI1NiJ9.eyJ1cmwiOiJpbWFnZXMvcHJvZHVjdHMvMC0xNzUwNzI5MjcwNjM0LndlYnAiLCJpYXQiOjE3NTA3MjkyNzAsImV4cCI6MjA2NjA4OTI3MH0.xQ3q6upeQoonyqgEOnl6lh3_t-HcJUwACuYxb-KFQOc
214,"Wilson Defy V1",Wilson,padel,palas,0.8358,0.4767,0.8358,0.0758,0.0883,0.2600,0.2633,https://itllufoljyibrrzlwapm.supabase.co/storage/v1/object/sign/images/products/0-1757384515189.webp?token=eyJraWQiOiJzdG9yYWdlLXVybC1zaWduaW5nLWtleV9hMGI4MTEwOC05MjM2LTRmOGQtYWVmMC0xYmFjOWIwMGNmNjAiLCJhbGciOiJIUzI1NiJ9.eyJ1cmwiOiJpbWFnZXMvcHJvZHVjdHMvMC0xNzU3Mzg0NTE1MTg5LndlYnAiLCJpYXQiOjE3NTczODQ1MTUsImV4cCI6MjA3Mjc0NDUxNX0.Y4VQeLIzLUyLttQrWmzCnCU6JWYamCTdeAv5ZJi4F5k
217,"Wilson Blade V3",Wilson,padel,palas,0.8358,0.4775,0.8358,0.0742,0.0900,0.2617,0.2608,https://itllufoljyibrrzlwapm.supabase.co/storage/v1/object/sign/images/products/0-1757384776286.webp?token=eyJraWQiOiJzdG9yYWdlLXVybC1zaWduaW5nLWtleV9hMGI4MTEwOC05MjM2LTRmOGQtYWVmMC0xYmFjOWIwMGNmNjAiLCJhbGciOiJIUzI1NiJ9.eyJ1cmwiOiJpbWFnZXMvcHJvZHVjdHMvMC0xNzU3Mzg0Nzc2Mjg2LndlYnAiLCJpYXQiOjE3NTczODQ3NzYsImV4cCI6MjA3Mjc0NDc3Nn0.4LcGXZNT1c6r4JVT_vnffiiFpyHoH2uDwgsq5hnrvlA
136,"Adidas Balls Speed RX",Adidas,padel,pelotas,0.8375,0.5500,0.8375,0.0825,0.0800,0.2250,0.2250,https://itllufoljyibrrzlwapm.supabase.co/storage/v1/object/sign/images/products/0-1751247242590.jpg?token=eyJraWQiOiJzdG9yYWdlLXVybC1zaWduaW5nLWtleV9hMGI4MTEwOC05MjM2LTRmOGQtYWVmMC0xYmFjOWIwMGNmNjAiLCJhbGciOiJIUzI1NiJ9.eyJ1cmwiOiJpbWFnZXMvcHJvZHVjdHMvMC0xNzUxMjQ3MjQyNTkwLmpwZyIsImlhdCI6MTc1MTI0NzI0MywiZXhwIjoyMDY2NjA3MjQzfQ.qMrsjicP9ccaWSuZZRlNHi5qjP9Ml7cvwtGJNCJQCzc
143,"Wilson Premier Pádel Speed X3 ",Wilson,padel,pelotas,0.8455,0.2947,0.8455,0.0971,0.0574,0.3576,0.3477,https://itllufoljyibrrzlwapm.supabase.co/storage/v1/object/sign/images/products/0-1751251929410.webp?token=eyJraWQiOiJzdG9yYWdlLXVybC1zaWduaW5nLWtleV9hMGI4MTEwOC05MjM2LTRmOGQtYWVmMC0xYmFjOWIwMGNmNjAiLCJhbGciOiJIUzI1NiJ9.eyJ1cmwiOiJpbWFnZXMvcHJvZHVjdHMvMC0xNzUxMjUxOTI5NDEwLndlYnAiLCJpYXQiOjE3NTEyNTE5MjksImV4cCI6MjA2NjYxMTkyOX0.rG1EThZ0tTymOT9AE6oJ1xCTw4k4khUDetJGRQsIg4U
168,"Butterfly Estuche Logo Individual",Butterfly,tenis-mesa,accesorios,0.8491,0.8491,0.8175,0.0912,0.0912,0.1509,0.0000,https://itllufoljyibrrzlwapm.supabase.co/storage/v1/object/sign/images/products/0-1753053776732.png?token=eyJraWQiOiJzdG9yYWdlLXVybC1zaWduaW5nLWtleV9hMGI4MTEwOC05MjM2LTRmOGQtYWVmMC0xYmFjOWIwMGNmNjAiLCJhbGciOiJIUzI1NiJ9.eyJ1cmwiOiJpbWFnZXMvcHJvZHVjdHMvMC0xNzUzMDUzNzc2NzMyLnBuZyIsImlhdCI6MTc1MzA1Mzc3NywiZXhwIjoyMDY4NDEzNzc3fQ.4kqIwCCDFU-P5HtwVZxq1Etx2PAkaT09BAjtw2fYsPw
224,"Adidas Weekend Bag Offwhite 3.4",Adidas,padel,bolsos,0.8500,0.8500,0.7675,0.1133,0.1192,0.0750,0.0750,https://itllufoljyibrrzlwapm.supabase.co/storage/v1/object/sign/images/products/0-1757717219810.jpg?token=eyJraWQiOiJzdG9yYWdlLXVybC1zaWduaW5nLWtleV9hMGI4MTEwOC05MjM2LTRmOGQtYWVmMC0xYmFjOWIwMGNmNjAiLCJhbGciOiJIUzI1NiJ9.eyJ1cmwiOiJpbWFnZXMvcHJvZHVjdHMvMC0xNzU3NzE3MjE5ODEwLmpwZyIsImlhdCI6MTc1NzcxNzIyMCwiZXhwIjoyMDczMDc3MjIwfQ.Y4MVxwJyg1-8pw5wj8uJffyoENsSUBUqgxeVkc7ZE2g
219,"Adidas Caramelera Grip Perforado X45 Blanco",Adidas,padel,accesorios,0.8525,0.8525,0.8096,0.1094,0.0811,0.0801,0.0674,https://itllufoljyibrrzlwapm.supabase.co/storage/v1/object/sign/images/products/0-1757385326639.jpg?token=eyJraWQiOiJzdG9yYWdlLXVybC1zaWduaW5nLWtleV9hMGI4MTEwOC05MjM2LTRmOGQtYWVmMC0xYmFjOWIwMGNmNjAiLCJhbGciOiJIUzI1NiJ9.eyJ1cmwiOiJpbWFnZXMvcHJvZHVjdHMvMC0xNzU3Mzg1MzI2NjM5LmpwZyIsImlhdCI6MTc1NzM4NTMyNiwiZXhwIjoyMDcyNzQ1MzI2fQ.UKj6y_8U7SNKe0l_DBFlbFacvkM8a25Uw-uTyXbyRzw
227,"Wilson Bela Small Duffel Red",Wilson,padel,bolsos,0.8533,0.8533,0.7378,0.1333,0.1289,0.0711,0.0756,https://itllufoljyibrrzlwapm.supabase.co/storage/v1/object/sign/images/products/0-1757718185924.jpg?token=eyJraWQiOiJzdG9yYWdlLXVybC1zaWduaW5nLWtleV9hMGI4MTEwOC05MjM2LTRmOGQtYWVmMC0xYmFjOWIwMGNmNjAiLCJhbGciOiJIUzI1NiJ9.eyJ1cmwiOiJpbWFnZXMvcHJvZHVjdHMvMC0xNzU3NzE4MTg1OTI0LmpwZyIsImlhdCI6MTc1NzcxODE4NiwiZXhwIjoyMDczMDc4MTg2fQ.HLtFj1jGP66tWgPHMVrs2KsICFOowx5Sa5NodH800rw
251,"Adidas Racket Bag Protour 3.4 Color Blanco",Adidas,padel,bolsos,0.8550,0.6733,0.8550,0.0692,0.0758,0.1633,0.1633,https://itllufoljyibrrzlwapm.supabase.co/storage/v1/object/sign/images/products/0-1765213892683.jpg?token=eyJraWQiOiJzdG9yYWdlLXVybC1zaWduaW5nLWtleV9hMGI4MTEwOC05MjM2LTRmOGQtYWVmMC0xYmFjOWIwMGNmNjAiLCJhbGciOiJIUzI1NiJ9.eyJ1cmwiOiJpbWFnZXMvcHJvZHVjdHMvMC0xNzY1MjEzODkyNjgzLmpwZyIsImlhdCI6MTc2NTIxMzg5MywiZXhwIjoyMDgwNTczODkzfQ.May1w597RMm5Nuj52gWyGBFr_MdhZw8FYY9GxSK4QPQ
298,"Blister Overgrips Wilson Pro Comfort Blanco x30",Wilson,padel,accesorios,0.8672,0.4814,0.8672,0.0664,0.0664,0.2588,0.2598,https://itllufoljyibrrzlwapm.supabase.co/storage/v1/object/sign/images/products/0-1778687294106.webp?token=eyJraWQiOiJzdG9yYWdlLXVybC1zaWduaW5nLWtleV9hMGI4MTEwOC05MjM2LTRmOGQtYWVmMC0xYmFjOWIwMGNmNjAiLCJhbGciOiJIUzI1NiJ9.eyJ1cmwiOiJpbWFnZXMvcHJvZHVjdHMvMC0xNzc4Njg3Mjk0MTA2LndlYnAiLCJpYXQiOjE3Nzg2ODcyOTUsImV4cCI6MjA5NDA0NzI5NX0.sDJpayUMVlMyi9sgLWHNYWikPEOetYcjZLQYq2glY5s
137,"Adidas Overgrip X3 Blanco",Adidas,padel,accesorios,0.8740,0.8740,0.8124,0.1130,0.0746,0.0615,0.0645,https://itllufoljyibrrzlwapm.supabase.co/storage/v1/object/sign/images/products/0-1751247839566.jpg?token=eyJraWQiOiJzdG9yYWdlLXVybC1zaWduaW5nLWtleV9hMGI4MTEwOC05MjM2LTRmOGQtYWVmMC0xYmFjOWIwMGNmNjAiLCJhbGciOiJIUzI1NiJ9.eyJ1cmwiOiJpbWFnZXMvcHJvZHVjdHMvMC0xNzUxMjQ3ODM5NTY2LmpwZyIsImlhdCI6MTc1MTI0Nzg0MCwiZXhwIjoyMDY2NjA3ODQwfQ.m7UxJxqeFc65b_ufds6xmw626cvZoxtQQoTsXt1xX2U
165,"Butterfly Bugller",Butterfly,tenis-mesa,gomas,0.8775,0.8342,0.8775,0.0700,0.0525,0.0975,0.0683,https://itllufoljyibrrzlwapm.supabase.co/storage/v1/object/sign/images/products/0-1753053392540.jpg?token=eyJraWQiOiJzdG9yYWdlLXVybC1zaWduaW5nLWtleV9hMGI4MTEwOC05MjM2LTRmOGQtYWVmMC0xYmFjOWIwMGNmNjAiLCJhbGciOiJIUzI1NiJ9.eyJ1cmwiOiJpbWFnZXMvcHJvZHVjdHMvMC0xNzUzMDUzMzkyNTQwLmpwZyIsImlhdCI6MTc1MzA1MzM5MywiZXhwIjoyMDY4NDEzMzkzfQ.r52IKORixSd96NOxD3dE54MPF-q8FXE2wcHneDMqy8Y
300,"Wilson Bela Small Duffel Negro",Wilson,padel,bolsos,0.8797,0.8797,0.8608,0.0633,0.0759,0.0591,0.0612,https://itllufoljyibrrzlwapm.supabase.co/storage/v1/object/sign/images/products/0-1778690620661.webp?token=eyJraWQiOiJzdG9yYWdlLXVybC1zaWduaW5nLWtleV9hMGI4MTEwOC05MjM2LTRmOGQtYWVmMC0xYmFjOWIwMGNmNjAiLCJhbGciOiJIUzI1NiJ9.eyJ1cmwiOiJpbWFnZXMvcHJvZHVjdHMvMC0xNzc4NjkwNjIwNjYxLndlYnAiLCJpYXQiOjE3Nzg2OTA2MjAsImV4cCI6MjA5NDA1MDYyMH0.RHtxu1sk0Ztj2qD1vvLcMeVzh4VV7TqD0rzX_EbbFEM
158,"Butterfly Glayzer 09C",Butterfly,tenis-mesa,gomas,0.8800,0.8350,0.8800,0.0717,0.0483,0.0983,0.0667,https://itllufoljyibrrzlwapm.supabase.co/storage/v1/object/sign/images/products/0-1753052764273.jpg?token=eyJraWQiOiJzdG9yYWdlLXVybC1zaWduaW5nLWtleV9hMGI4MTEwOC05MjM2LTRmOGQtYWVmMC0xYmFjOWIwMGNmNjAiLCJhbGciOiJIUzI1NiJ9.eyJ1cmwiOiJpbWFnZXMvcHJvZHVjdHMvMC0xNzUzMDUyNzY0MjczLmpwZyIsImlhdCI6MTc1MzA1Mjc2NCwiZXhwIjoyMDY4NDEyNzY0fQ.9AWEM-noGCIepprqoKMGZUPV058EkkBgOvtmb2fCy-0
226,"Wilson Super Tour Bag Black",Wilson,padel,bolsos,0.8856,0.8856,0.6044,0.2411,0.1544,0.0578,0.0567,https://itllufoljyibrrzlwapm.supabase.co/storage/v1/object/sign/images/products/0-1757718095500.webp?token=eyJraWQiOiJzdG9yYWdlLXVybC1zaWduaW5nLWtleV9hMGI4MTEwOC05MjM2LTRmOGQtYWVmMC0xYmFjOWIwMGNmNjAiLCJhbGciOiJIUzI1NiJ9.eyJ1cmwiOiJpbWFnZXMvcHJvZHVjdHMvMC0xNzU3NzE4MDk1NTAwLndlYnAiLCJpYXQiOjE3NTc3MTgwOTUsImV4cCI6MjA3MzA3ODA5NX0.EDEDnAEg4cYNIF5cnFsHyStOrMBoKhVM3QOpk_M-eWg
